,campus,lon,lat,total,pop,rate,state
714,Gordon-Conwell Theological Seminary,-70.8450204,42.6124501,11,27735,0.4,massachusetts
715,Goshen College,-85.828317,41.564367,20,12174,1.64,indiana
716,Goucher College,-76.596545,39.408765,117,31213,3.75,maryland
717,Governors State University,-87.716819,41.448693,8,78964,0.1,illinois
718,Grace Bible College,-85.692024,42.919082,8,3750,2.13,michigan
719,Grace College and Theological Seminary,-85.8165654,41.2263523,83,21610,3.84,indiana
2721,Grace College of Divinity,-78.9612666,35.0588502,1,426,2.35,north carolina
720,Grace University,-95.9275421,41.246831,76,6343,11.98,nebraska
721,Graceland University-Lamoni,-93.925638,40.616346,43,33375,1.29,iowa
722,Graduate Theological Union,-122.2618794,37.87554,7,3634,1.93,california
723,Grambling State University,-92.717496,32.522348,1111,69364,16.02,louisiana
724,Grand Canyon University,-112.1299582,33.5105204,284,347957,0.82,arizona
725,Grand Valley State University,-85.8889465,42.9639355,157,324713,0.48,michigan
726,Grand View University,-93.6043618,41.6207915,100,26296,3.8,iowa
727,Granite State College,-71.527243,43.192908,13,25248,0.51,new hampshire
728,Gratz College,-75.1339,40.067243,6,8918,0.67,pennsylvania
729,Great Basin College,-115.7671347,40.8425713,31,43113,0.72,nevada
730,Great Lakes Christian College,-84.6385003,42.7543252,2,3107,0.64,michigan
731,Green Mountain College,-73.2442058,43.5167448,89,10548,8.44,vermont
732,Green River Community College,-122.177741,47.3135849,376,101947,3.69,washington
733,Greensboro College,-79.8002632,36.0710001,118,16423,7.19,north carolina
734,Greenville College,-89.4087017,38.8928199,130,19823,6.56,illinois
735,Grinnell College,-92.7201302,41.7490571,388,22566,17.19,iowa
736,Guilford College,-79.8887399,36.0917988,233,33902,6.87,north carolina
737,Gulf Coast State College,-85.728897,30.185109,27,87059,0.31,florida
738,Gustavus Adolphus College,-93.9687771,44.3221619,197,35407,5.56,minnesota
739,Gwynedd Mercy University,-75.237334,40.196788,71,35978,1.97,pennsylvania
740,Hallmark University,-98.5685427,29.5383757,3,10092,0.3,texas
742,Hamilton Technical College,-90.5599073,41.5740607,1,3413,0.29,iowa
743,Hamline University,-93.164807,44.965946,179,60082,2.98,minnesota
744,Hampden-Sydney College,-78.4610298,37.2403758,228,15033,15.17,virginia
745,Hampshire College,-72.5322956,42.325559,478,18300,26.12,massachusetts
746,Hampton University,-76.3343603,37.0228392,685,76734,8.93,virginia
747,Hannibal-LaGrange University,-91.3906931,39.7273645,28,14782,1.89,missouri
748,Hanover College,-85.4623681,38.7192502,180,14501,12.41,indiana
749,Hardin-Simmons University,-99.7349328,32.4776324,152,32489,4.68,texas
750,Harding University,-91.7261195,35.248876,345,83998,4.11,arkansas
751,Harrington College of Design,-87.6344803,41.8821863,1,15037,0.07,illinois
752,Harris-Stowe State University,-90.2250524,38.6324486,41,23925,1.71,missouri
753,Harrison College-Anderson,-85.676742,40.062384,1,2350,0.43,indiana
756,Harrison College-Fort Wayne,-85.119563,41.137951,7,5198,1.35,indiana
757,Harrison College-Indianapolis,-86.264909,39.926824,7,27525,0.25,indiana
758,Harrison College-Indianapolis East,-86.022823,39.749818,10,6240,1.6,indiana
760,Harrison College-Terre Haute,-87.3320945,39.4496253,5,3034,1.65,indiana
2656,Hartford Seminary,-72.7077092,41.7698571,1,689,1.45,connecticut
761,Hartwick College,-75.0728868,42.4573534,188,21095,8.91,new york
762,Harvard University,-71.1166601,42.3770029,3824,369795,10.34,massachusetts
763,Harvey Mudd College,-117.7104699,34.1060817,234,9708,24.1,california
764,Haskell Indian Nations University,-95.2333404,38.9377658,135,11719,11.52,kansas
765,Hastings College,-98.3732874,40.5904193,37,14971,2.47,nebraska
766,Haverford College,-75.305318,40.0066524,246,14066,17.49,pennsylvania
767,Hawaii Pacific University,-157.8596042,21.3104378,21,108781,0.19,hawaii
2519,Hazelden Graduate School of Addiction Studies,-92.8049482,45.3750817,2,746,2.68,minnesota
769,Hebrew Theological College,-87.760724,42.0108542,20,6115,3.27,illinois
771,Heidelberg University,-83.1664075,41.1143037,171,18465,9.26,ohio
773,Hellenic College-Holy Cross Greek Orthodox School of Theology,-71.1262841,42.3169836,37,2918,12.68,massachusetts
774,Henderson State University,-93.0590436,34.12793,179,50580,3.54,arkansas
